               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065167,             0.01729,            0.026262,             0.48907,             0.23441,             0.15104,            0.045144,            0.039813,           0.0089007,            0.015066,           0.0033304,           0.0033304,            0.070027
                   1,            0.047597,            0.012488,           0.0094304,             0.41424,             0.35579,              0.2564,            0.085699,             0.03386,            0.008607,             0.01799,           0.0065977,           0.0065977,            0.039961
                   2,            0.042037,            0.011875,           0.0066259,             0.53223,             0.35276,             0.32253,             0.12908,            0.031422,            0.009472,            0.015489,           0.0097991,           0.0097991,           0.0098287
                   3,            0.036025,            0.010992,           0.0047359,             0.60791,             0.34715,             0.37135,             0.15062,            0.029936,           0.0077407,            0.015344,            0.009703,            0.009703,            0.009703
                   4,            0.031596,            0.009986,           0.0032499,             0.60948,             0.35949,             0.35392,             0.15333,            0.029494,           0.0086012,            0.015727,            0.009703,            0.009703,            0.009703
                   5,            0.028647,           0.0095444,             0.00266,             0.60379,             0.38349,             0.36948,             0.15376,            0.029521,           0.0080975,            0.014955,            0.009604,            0.009604,            0.009604
                   6,            0.027177,           0.0090189,           0.0022307,              0.6434,             0.36104,             0.36835,             0.17119,            0.028963,           0.0086062,            0.017003,            0.009505,            0.009505,            0.009505
                   7,            0.025668,           0.0087846,           0.0020664,             0.65306,               0.388,             0.40229,             0.17769,            0.028566,           0.0081305,            0.016906,            0.009406,            0.009406,            0.009406
                   8,            0.025348,           0.0087054,           0.0021553,             0.64889,             0.40125,             0.39098,              0.1852,              0.0279,           0.0083424,            0.016053,            0.009307,            0.009307,            0.009307
                   9,            0.024662,           0.0084563,           0.0019364,             0.65361,             0.35594,               0.394,             0.17951,            0.028648,           0.0084205,            0.017233,            0.009208,            0.009208,            0.009208
                  10,             0.02365,           0.0081926,           0.0015818,             0.65339,             0.39301,             0.40603,             0.19641,            0.027679,           0.0083483,            0.015682,            0.009109,            0.009109,            0.009109
                  11,            0.023373,           0.0081863,           0.0017471,             0.70767,             0.36213,             0.39457,             0.18717,            0.028605,           0.0087466,            0.015737,             0.00901,             0.00901,             0.00901
                  12,            0.022983,           0.0080907,           0.0017161,             0.67169,             0.40123,             0.41821,             0.20598,            0.026923,            0.007922,            0.016591,            0.008911,            0.008911,            0.008911
                  13,            0.022375,           0.0078611,           0.0016438,             0.67594,             0.36821,             0.40653,              0.1982,            0.028018,           0.0083479,             0.01634,            0.008812,            0.008812,            0.008812
                  14,             0.02189,           0.0078202,           0.0016098,             0.65996,             0.37996,             0.39853,             0.20351,            0.027445,           0.0090663,            0.015278,            0.008713,            0.008713,            0.008713
                  15,            0.021311,           0.0076016,           0.0013337,              0.7043,             0.37356,             0.41394,             0.20589,            0.026687,            0.009427,            0.014281,            0.008614,            0.008614,            0.008614
                  16,            0.020939,           0.0074926,              0.0013,              0.7073,             0.38006,             0.40594,             0.20414,            0.027135,           0.0087352,            0.015986,            0.008515,            0.008515,            0.008515
                  17,            0.020869,            0.007476,            0.001277,             0.67897,             0.42536,             0.42904,             0.20755,            0.027071,           0.0088237,            0.016706,            0.008416,            0.008416,            0.008416
                  18,             0.02053,           0.0073423,           0.0013189,             0.67518,             0.43055,             0.42848,             0.21315,            0.027392,           0.0089939,            0.014542,            0.008317,            0.008317,            0.008317
                  19,            0.020599,           0.0072936,           0.0013421,              0.6729,              0.4235,             0.43702,             0.20772,            0.026889,           0.0084711,             0.01528,            0.008218,            0.008218,            0.008218
                  20,            0.019925,           0.0072414,           0.0011893,             0.67526,             0.41727,             0.41228,             0.20867,            0.026593,           0.0084391,            0.016702,            0.008119,            0.008119,            0.008119
                  21,            0.019951,           0.0071896,           0.0011897,             0.69082,             0.41429,             0.42235,             0.20774,            0.027263,           0.0085596,            0.015368,             0.00802,             0.00802,             0.00802
                  22,            0.020314,           0.0073866,           0.0014876,             0.69113,             0.45004,             0.45584,             0.21152,            0.026307,           0.0082013,            0.010732,            0.007921,            0.007921,            0.007921
                  23,            0.019957,           0.0072982,           0.0011733,             0.69805,             0.41712,             0.42794,             0.21149,            0.027005,           0.0086946,             0.01498,            0.007822,            0.007822,            0.007822
                  24,            0.020018,            0.007361,           0.0011987,             0.73414,             0.39674,              0.4348,             0.22164,            0.027007,           0.0084591,            0.014905,            0.007723,            0.007723,            0.007723
                  25,            0.019702,           0.0070963,            0.001249,             0.70773,             0.41124,             0.43724,             0.21561,            0.026955,           0.0087671,            0.013414,            0.007624,            0.007624,            0.007624
                  26,            0.019501,             0.00716,           0.0012651,              0.6985,             0.40197,             0.42559,             0.20884,            0.027512,           0.0089916,            0.015399,            0.007525,            0.007525,            0.007525
                  27,             0.01889,           0.0069332,          0.00094459,             0.65296,             0.43522,              0.4217,             0.20529,            0.027327,           0.0095137,            0.014694,            0.007426,            0.007426,            0.007426
                  28,            0.018793,           0.0069278,          0.00090691,             0.70989,             0.40762,             0.42764,             0.21808,            0.026763,           0.0092139,            0.014508,            0.007327,            0.007327,            0.007327
                  29,            0.018555,           0.0068424,           0.0011285,             0.71969,             0.43212,             0.43978,             0.22925,            0.026839,            0.008953,            0.014771,            0.007228,            0.007228,            0.007228
                  30,            0.018238,           0.0067137,          0.00082582,             0.72999,             0.41237,             0.44069,             0.22417,            0.026501,            0.008898,            0.014799,            0.007129,            0.007129,            0.007129
                  31,            0.017844,           0.0066679,          0.00086221,             0.67087,             0.41835,             0.42931,             0.22069,            0.026642,            0.009183,               0.016,             0.00703,             0.00703,             0.00703
