               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070342,            0.019331,              0.0139,             0.67173,             0.24458,             0.24598,            0.072598,            0.047614,            0.012882,           0.0083163,           0.0033239,           0.0033239,            0.070085
                   1,            0.045092,            0.012087,            0.004507,             0.75803,             0.29506,             0.33586,             0.10517,            0.041778,            0.013826,           0.0060688,           0.0065749,           0.0065749,            0.040002
                   2,            0.039288,            0.011041,           0.0030693,             0.60608,              0.4077,             0.42022,             0.14908,            0.041207,            0.013416,           0.0053672,           0.0097433,           0.0097433,           0.0098375
                   3,            0.033606,            0.010016,           0.0018869,             0.70291,             0.47091,             0.49874,             0.19964,             0.03801,            0.014849,           0.0046001,           0.0096288,           0.0096288,           0.0096288
                   4,            0.029386,           0.0092317,            0.001468,              0.6249,             0.48278,             0.51812,             0.19718,            0.037962,            0.013501,           0.0040338,           0.0096288,           0.0096288,           0.0096288
                   5,            0.027182,           0.0088796,           0.0012121,              0.6846,              0.5224,              0.5544,             0.20758,            0.035779,            0.013237,           0.0039185,            0.009505,            0.009505,            0.009505
                   6,            0.025716,            0.008541,           0.0012045,             0.68979,             0.53029,             0.56159,             0.22999,             0.03596,            0.012783,           0.0032807,           0.0093813,           0.0093813,           0.0093813
                   7,            0.024518,           0.0082374,          0.00098952,             0.65842,             0.45884,             0.49229,             0.17858,            0.036982,            0.015159,           0.0026702,           0.0092575,           0.0092575,           0.0092575
                   8,            0.023608,           0.0082386,           0.0010488,             0.63334,             0.50834,             0.51644,             0.19043,            0.035468,            0.013868,           0.0029776,           0.0091337,           0.0091337,           0.0091337
                   9,            0.022732,           0.0079124,          0.00096886,             0.59343,             0.48937,             0.47905,             0.18433,            0.035657,             0.01424,           0.0047796,             0.00901,             0.00901,             0.00901
                  10,            0.022101,           0.0077097,          0.00084016,             0.60102,             0.53372,             0.54124,             0.21114,            0.036178,            0.015231,             0.00369,           0.0088863,           0.0088863,           0.0088863
                  11,            0.021184,           0.0075034,          0.00077058,             0.69816,             0.50628,             0.51636,             0.17645,            0.035881,            0.013906,           0.0032185,           0.0087625,           0.0087625,           0.0087625
                  12,             0.02105,            0.007468,          0.00085832,             0.75293,             0.52063,             0.56747,             0.21644,            0.035355,            0.012984,           0.0028765,           0.0086388,           0.0086388,           0.0086388
                  13,            0.020829,           0.0073879,          0.00076293,             0.71208,               0.462,             0.50275,             0.17961,            0.036614,             0.01497,           0.0032626,            0.008515,            0.008515,            0.008515
                  14,            0.020022,           0.0072771,          0.00070416,              0.7283,             0.46152,             0.52841,             0.19967,            0.035264,            0.015118,           0.0027606,           0.0083913,           0.0083913,           0.0083913
                  15,            0.019997,           0.0072584,          0.00066239,             0.71929,             0.51019,             0.56871,             0.18735,            0.035026,            0.014126,           0.0027376,           0.0082675,           0.0082675,           0.0082675
                  16,            0.019384,           0.0070954,          0.00061105,             0.74536,              0.5035,             0.55453,             0.20318,            0.035339,            0.014561,           0.0028581,           0.0081437,           0.0081437,           0.0081437
                  17,             0.01946,           0.0070386,          0.00062289,             0.69085,             0.46468,             0.51528,             0.18472,            0.035374,            0.015462,            0.002903,             0.00802,             0.00802,             0.00802
